Time,Irradiance,Temperature,Condition
8,286.9043205,11,March (Spring)
8.05,255.1724576,10.5,March (Spring)
8.1,329.7883896,10,March (Spring)
8.15,294.4445649,9.5,March (Spring)
8.2,324.2989573,9,March (Spring)
8.25,280.1396732,9,March (Spring)
8.3,278.4199942,8.5,March (Spring)
8.35,277.3623655,8.5,March (Spring)
8.4,321.6837941,8.5,March (Spring)
8.45,533.1509357,8.5,March (Spring)
8.5,481.0186233,8.5,March (Spring)
8.55,495.0323209,8,March (Spring)
9,230.2141106,7.5,March (Spring)
9.05,222.3177986,7.5,March (Spring)
9.1,192.5324303,7,March (Spring)
9.15,207.4159394,7,March (Spring)
9.2,289.7589996,7,March (Spring)
9.25,261.3290615,7,March (Spring)
9.3,282.3419368,7,March (Spring)
9.35,238.640519,7,March (Spring)
9.4,291.0064071,7,March (Spring)
9.45,280.896791,7,March (Spring)
9.5,231.1197386,7,March (Spring)
9.55,250.0968572,7,March (Spring)
10,155.8723982,6.5,March (Spring)
10.05,201.1488486,6.5,March (Spring)
10.1,163.4143128,6.5,March (Spring)
10.15,141.6424081,6.5,March (Spring)
10.2,150.7313778,6.5,March (Spring)
10.25,246.7614593,6,March (Spring)
10.3,253.9615961,6,March (Spring)
10.35,261.1557866,6,March (Spring)
10.4,321.8608214,5.5,March (Spring)
10.45,512.7786398,5,March (Spring)
10.5,151.9697797,4.5,March (Spring)
10.55,131.7722104,4.5,March (Spring)
11,147.5079391,4.5,March (Spring)
11.05,115.8876259,4,March (Spring)
11.1,107.587338,4,March (Spring)
11.15,102.6340967,4,March (Spring)
11.2,91.22770786,4,March (Spring)
11.25,85.02240209,4,March (Spring)
11.3,75.23834443,4,March (Spring)
11.35,64.77213821,3.5,March (Spring)
11.4,61.3302867,3.5,March (Spring)
11.45,52.45094544,3.5,March (Spring)
11.5,63.74093627,3.5,March (Spring)
11.55,49.20408946,3.5,March (Spring)
12,28.22053585,3.5,March (Spring)
12.05,21.40107344,3,March (Spring)
12.1,17.14541761,3,March (Spring)
12.15,10.0395816,3,March (Spring)
12.2,4.318797464,3,March (Spring)
12.25,1.879250649,2.5,March (Spring)
12.3,0.819179843,3,March (Spring)
12.35,0.217519695,2.5,March (Spring)
12.4,0.699806187,2.5,March (Spring)
12.45,0.489150635,2.5,March (Spring)
12.5,0.064419447,2.5,March (Spring)
12.55,0.204184094,2.5,March (Spring)
13,2.701392306,2.5,March (Spring)
13.05,0.120349721,2.5,March (Spring)
13.1,0,2.5,March (Spring)
13.15,0,2.5,March (Spring)
13.2,0,2.5,March (Spring)
13.25,0,2.5,March (Spring)
13.3,0,2.5,March (Spring)
13.35,0,2.5,March (Spring)
13.4,0,2.5,March (Spring)
13.45,0,2.5,March (Spring)
13.5,0,2.5,March (Spring)
13.55,0,2.5,March (Spring)
14,0,2.5,March (Spring)
14.05,0,2.5,March (Spring)
14.1,0,2.5,March (Spring)
14.15,0,2.5,March (Spring)
14.2,0,2,March (Spring)
14.25,0,2,March (Spring)
14.3,0,2,March (Spring)
14.35,0,2,March (Spring)
14.4,0,2,March (Spring)
14.45,0,2,March (Spring)
14.5,0,2,March (Spring)
14.55,0,2,March (Spring)
15,0,2,March (Spring)
15.05,0,2,March (Spring)
15.1,0,1.5,March (Spring)
15.15,0,1.5,March (Spring)
15.2,0,1.5,March (Spring)
15.25,0,1.5,March (Spring)
15.3,0,1.5,March (Spring)
15.35,0,1.5,March (Spring)
15.4,0,1.5,March (Spring)
15.45,0,1.5,March (Spring)
15.5,0,1.5,March (Spring)
15.55,0,1.5,March (Spring)
16,0,1.5,March (Spring)
16.05,0,1.5,March (Spring)
16.1,0,1.5,March (Spring)
16.15,0,1.5,March (Spring)
16.2,0,1.5,March (Spring)
16.25,0,1.5,March (Spring)
16.3,0,1.5,March (Spring)
16.35,0,1.5,March (Spring)
16.4,0,1.5,March (Spring)
16.45,0,1.5,March (Spring)
16.5,0,1.5,March (Spring)
16.55,0,1,March (Spring)
17,0,1,March (Spring)
17.05,0,1,March (Spring)
17.1,0,1,March (Spring)
17.17,0,1,March (Spring)
17.2,0,1,March (Spring)
17.25,0,1,March (Spring)
17.3,0,1,March (Spring)
17.35,0,1,March (Spring)
17.4,0,1,March (Spring)
17.45,0,1,March (Spring)
17.5,0,1,March (Spring)
17.55,0,1,March (Spring)
18,0,0.5,March (Spring)
18.05,0,0.5,March (Spring)
18.1,0,0.5,March (Spring)
18.18,0,0.5,March (Spring)
18.2,0,0.5,March (Spring)
18.25,0,0.5,March (Spring)
18.3,0,0.5,March (Spring)
18.35,0,0.5,March (Spring)
18.4,0,0,March (Spring)
18.45,0,0,March (Spring)
18.5,0,0,March (Spring)
18.55,0,0.5,March (Spring)
19,0,0.5,March (Spring)
19.05,0,0.5,March (Spring)
19.1,0,0.5,March (Spring)
19.19,0,0.5,March (Spring)
19.2,0,0.5,March (Spring)
19.25,0,0.5,March (Spring)
19.3,0,1,March (Spring)
19.35,0,1,March (Spring)
19.4,0,1,March (Spring)
19.45,0,1,March (Spring)
19.5,0,1,March (Spring)
19.55,0,1,March (Spring)
20,0,1,March (Spring)
20.05,0,1,March (Spring)
20.1,0,1,March (Spring)
20.2,0,1,March (Spring)
20.2,0,1,March (Spring)
20.25,0,0.5,March (Spring)
20.3,0,0.5,March (Spring)
20.35,0,0.5,March (Spring)
20.4,0,0.5,March (Spring)
20.45,0,0.5,March (Spring)
20.5,0,0,March (Spring)
20.55,0,0,March (Spring)
21,0,0,March (Spring)
21.05,0,0,March (Spring)
21.1,0,0,March (Spring)
21.2,0,0,March (Spring)
21.21,0,0,March (Spring)
21.25,0,0,March (Spring)
21.3,0,0,March (Spring)
21.35,0,0,March (Spring)
21.4,0,0,March (Spring)
21.45,0,0,March (Spring)
21.5,0,0,March (Spring)
21.55,0,0,March (Spring)
22,0.10054211,0.5,March (Spring)
22.05,2.595893264,0.5,March (Spring)
22.1,3.857955462,0.5,March (Spring)
22.2,3.151526806,1,March (Spring)
22.22,5.357650849,0.5,March (Spring)
22.25,4.152631671,1,March (Spring)
22.3,6.297694349,0.5,March (Spring)
22.35,4.743713559,0.5,March (Spring)
22.4,3.865015535,0.5,March (Spring)
22.45,5.11211104,0.5,March (Spring)
22.5,6.484969264,0.5,March (Spring)
22.55,6.293752888,0.5,March (Spring)
23,9.932551501,0.5,March (Spring)
23.05,7.596371652,0.5,March (Spring)
23.1,5.606788484,0.5,March (Spring)
23.2,4.35731234,0.5,March (Spring)
23.23,5.042231748,0.5,March (Spring)
23.25,5.200601148,0.5,March (Spring)
23.3,6.823914501,0.5,March (Spring)
23.35,5.954567355,0.5,March (Spring)
23.4,6.527058819,0.5,March (Spring)
23.45,7.551612386,0.5,March (Spring)
23.5,8.456700809,0.5,March (Spring)
23.55,8.586653552,0.5,March (Spring)
24,15.78024858,0.5,March (Spring)
24.05,21.64444948,0.5,March (Spring)
24.1,50.10801912,0.5,March (Spring)
24.2,29.24452864,0.5,March (Spring)
24.24,78.25559537,0.5,March (Spring)
24.25,28.21976288,0.5,March (Spring)
24.3,38.90126083,0.5,March (Spring)
24.35,65.23629585,0.5,March (Spring)
24.4,193.6333038,0.5,March (Spring)
24.45,239.3567513,0.5,March (Spring)
24.5,257.9982844,0.5,March (Spring)
24.55,217.2876133,0.5,March (Spring)
25,139.0739317,0.5,March (Spring)
25.05,220.989,0.5,March (Spring)
25.1,162.8172657,0.5,March (Spring)
25.2,161.1315004,0.5,March (Spring)
25.25,261.5930485,0.5,March (Spring)
25.25,215.8744578,0.5,March (Spring)
25.3,275.678443,0.5,March (Spring)
25.35,311.2428697,1,March (Spring)
25.4,303.1287345,1,March (Spring)
25.45,451.8108586,1,March (Spring)
25.5,493.3943655,1,March (Spring)
25.55,250.1658853,1,March (Spring)
26,78.37253465,1,March (Spring)
26.05,74.8525558,1,March (Spring)
26.1,163.1433055,1,March (Spring)
26.2,678.0436499,0.5,March (Spring)
26.25,158.24945,0.5,March (Spring)
26.26,426.9843667,0.5,March (Spring)
26.3,149.499,0.5,March (Spring)
26.35,241.66929,1,March (Spring)
26.4,389.13384,1,March (Spring)
26.45,364.69102,1.5,March (Spring)
26.5,374.23509,2,March (Spring)
26.55,539.49671,2.5,March (Spring)
27,512.97245,3,March (Spring)
27.05,710.08005,3.5,March (Spring)
27.1,673.593,4,March (Spring)
27.2,625.80846,5.5,March (Spring)
27.25,631.41598,6.5,March (Spring)
27.27,594.0769,4.5,March (Spring)
27.3,539.56804,7,March (Spring)
27.35,738.11686,7.5,March (Spring)
27.4,703.30439,8,March (Spring)
27.45,631.37134,8.5,March (Spring)
27.5,681.26464,9,March (Spring)
